id;Imie;Nazwisko;Stopien
2354;Hitczenko;Lippe;6
2355;Kortkowski;Maniakin;8
2356;Raczyñski vel Wasiluk;Schuelde;1
2357;Rorzyczka;Zaroda;2
2358;Paluszik;Honiñska;7
2359;Gletkier;Harwith;6
2360;Czebatorys;Bruchlej;6
2361;Samilak;Samosch;4
2362;Kwoczalla;Kuœkowski;2
2363;Wornowicz;Trzebunia;6
2364;To³stow;Kufeldt;10
2365;Rzechoñ;Jazienicki;1
2366;¯warska;Goldszmidt;5
2367;Ha³abaza;Suchotowicz;7
2368;Brycki;Klinas;10
2369;Dowsa;Sieredziñski;10
2370;Goba;Sa³êgowski;4
2371;Goga³uszko;Trzaskuœ;5
2372;Gehrke;Gajewicz;7
2373;Œwierszczakowski;Nizic;5
2374;Gozdzikowski;Paryas;6
2375;Wczeœniak;Andziejuk;4
2376;Sonenberg;Sojcher;3
2377;Derbat;Lempke;3
2378;Ulnan;Luczak;5
2379;Radwoñ;Ladar;8
2380;Krzisch;Juñczyk;9
2381;Zachanik;Feicht;1
2382;Szelejak;Abgaro-Zachariasiewicz;2
2383;Buty³ow;Girwicz;6
2384;Kasaty;Fryzowski;7
2385;Ristok;Jainda;8
2386;Borzech;Rozenbaiger;9
2387;Gawrilenko;Sobotnik;6
2388;Wojcioszek;Repczyñski;1
2389;Jorczewska;Chabiuk;3
2390;Brela;Fortringer;4
2391;Skorny;Uler;4
2392;Izañska;Wardysz;3
2393;Polamarczyk;Goczok;1
2394;Klawik;Podleœnyk;4
2395;Kiet;Ga³anowicz;2
2396;Srebrzyñski;Mayering;3
2397;Wawilan;Rudleczko;9
2398;Szwarnog;Lickendorf;10
2399;Ciemiejewska;Piwodko;5
2400;¯eleniak;P³achcik;8
2401;Garbola;Passota;10
2402;Kirsztajn;Trzyszczyk;4
2403;Hrymaj³³o;Starunczak;2
2404;Syciñski;Brulok;6
2405;Marszk;Chrzempiec;6
2406;£oginowska;Strocen;3
2407;Æwiach;Ma³aszczenko;10
2408;Sendulski;Gierszner;1
2409;Mames;Stachjuk;3
2410;Buliæ;Wiko³ek;2
2411;St¹pka;Betlewicz;4
2412;Baratyñski;Kwaciszewski;4
2413;Landarska;Lonkwic;1
2414;Chamluk;Rabuszuk;1
2415;;Chopiany;7
2416;Cismasz;Chromiec;9
2417;Tetwak;Grywa³d;7
2418;Harisch;Pasiok;6
2419;Daniell;Fedyca;10
2420;Trjankowski;Hoszczaruk;4
2421;Tartowska;Marymowska;2
2422;Skupka;Temofiejew;1
2423;Miaskiewicz;Gwik;2
2424;Elsmer;Samotij;1
2425;Hajor;Szpanbruker;6
2426;Kwiczon;Bernasik;2
2427;Powelski;Mêdrychowska;8
2428;Maczka;£y¿kowicz;6
2429;Zasóñ;Szczepanek;8
2430;Stryguñ;Kronier;5
2431;Zdrowicki;Doboszuk;4
2432;Manikaj³o;Malinowicz;5
2433;Œmijski;Sztuka³a;2
2434;Szczyra;Katuliñski;7
2435;Mazenas;Kuffel;8
2436;Puziewski;Bullman;1
2437;Rometsch;Rykacz;1
2438;Wasilikowski;Krzywob³ocki;9
2439;Dziadorz;Bru¿yna;6
2440;Klodwig;Brodata;8
2441;Kiselbach;Szprit;8
2442;Czynulewska;Maksiñski;4
2443;Jünemann;Stysz;2
2444;Didycka;Dzier¿wa;4
2445;Friz;Mauersberg;1
2446;Wywiura;Olejewicz;5
2447;Mieszke;Kraszczyñski;8
2448;Czepuryk;Sylwanowski;3
2449;Weleno;Borejsza;2
2450;Bilet;Symanek;8
2451;Banduska;Klonecki;9
2452;Karmak;Woczala;3
2453;Schabiewska;£upas;6
2454;Narodni;Ho³owatnik;2
2455;Pasejna;Skut;2
2456;Kreid;Tolios;7
2457;Chmiel vel Chmielewski;Œlimak;1
2458;Zyblic;Szyæków;1
2459;Malcherak;Florentyna;10
2460;Strada³owicz;Ci¹¿eñski;3
2461;Silutin;¬liwa;1
2462;Pêciñski;Mierku³ów;3
2463;Nieleszko;Szparlik;4
2464;Heinik;Setny;9
2465;Ci³ak;Syndel;2
2466;Ka³da;Dorociuk;2
2467;Sztubert;Drezer;4
2468;Gudkowski;Wiercioszek;1
2469;Kirianow;Malinoga;3
2470;Jargociñski;Natis;2
2471;Begalis;Staliniewicz;6
2472;G¹siforek;Pochy³o;5
2473;Krauss;Pachecki;10
2474;Brudnias;Zajkowicz;1
2475;Faiga;Miete³ka;7
2476;Perrier;Toran;2
2477;Tymor;Lisiczka;2
2478;Gajonowska;Klimsiak;9
2479;Andziejczuk;Necelman;6
2480;Samsek;Dange;6
2481;Sanda;Jancerz;3
2482;Beycz;Pogrzeba;2
2483;Purzak;Syrycki;10
2484;Szczubkowski;Dundas;5
2485;Kowaluœ;Niewieski;4
2486;Draszanowski;Plonsek;8
2487;Kleinhaus;Nieczyport;6
2488;KuŸmicz;Stajnberg;8
2489;MedŸwiedŸ;Kokot vel Kociñski;5
2490;Pierdzio³;Powensowska;6
2491;Byszczyñska;Jendroszka;6
2492;Szmalczewska;Dechnik;1
2493;Sza³yñski;Strad;9
2494;Romañski;Schandler;3
2495;Kosba;Suwiczyñska;4
2496;Próbski;Wloziñski;1
2497;Dubinko;Giedyk;10
2498;Powszuk;Rudzyn;8
2499;Raglicka;Rudowald;1
2500;Wildenheim;Stychlesz;5
2501;B³ahitka;Klimiuk;5
2502;Moncol;Lidogoster;7
2503;Birga;Wysopal;1
2504;Lamparski;Moczugowski;4
2505;Stadio;Bogdañski;1
2506;Postalko;Pinkert;7
2507;Kanafus;Runde;8
2508;Skotarczyk;Penalver;10
2509;Mo³odkiewicz;Grejm;10
2510;Dytrich;Bedworz;1
2511;Jawitz;Zejdowski;1
2512;Gifmiêga;Dworzycz;3
2513;Biez;Siryn;4
2514;Drzewiecki;Terebiniec;1
2515;Zo³otucha;Staniszewski vel Stañcza;1
2516;Wypcho³;Wejsz;3
2517;Klechta;Celler;10
2518;Taront;Oklasiñski;10
2519;Gastpary;Haile;8
2520;Michniacki;Beczka;4
2521;Baucz;Trzensio³;1
2522;NiedŸwiadek;Zagozdon;2
2523;Moci¹g;Opatecki;10
2524;Feni;Szlejt;2
2525;Gud;Draganicz;9
2526;Wyp³oñski;Wandzelis;3
2527;Loho;Wichucki;8
2528;Gunczak;Ciecko;4
2529;Makie³o;Sadryna;10
2530;Mirza;Dularz;6
2531;Smisek;Chwalba;6
2532;Fanta³a;Imieliñski;4
2533;Machurat;Lutan;7
2534;Sztabniecki;Maradziewski;9
2535;Szadzik;Cho³yœ;
2536;Gadon;Wilki;8
2537;Plaskaty;Gresler;7
2538;Borowczyñski;Lachenro;5
2539;Baumwald;Nazwikowski;7
2540;Niewelt;Bisztyca;9
2541;Trojnow;Keita;6
2542;Lemoñczyk;Giczoñ;3
2543;Czy¿nik;Zorii;4
2544;Kurlak;Kazyjaka;4
2545;Chad;Bo¿ajewicz;5
2546;Glistek;Czyrzewicz;3
2547;Garbaciak;Wojtaszewski;7
2548;Wirkus;Niespodziewana;2
2549;Pohcio³;Kluszcz;9
2550;Kyæko;Cohla;3
2551;Jurowiec;Gwaciñska;2
2552;Latkiewicz;Wandeus;10
2553;Habatowska;Wienkowska;7
2554;Szustkiewicz;Klimirowicz;7
2555;Maryniuk;Dura³;9
2556;B¹sista;Pachniewicz;4
2557;Frischka;Irniszewska;6
2558;Kamoszewska;Jaskowicz;9
2559;Szutas;Zerbini;9
2560;Bêdzelewski;Terenti;3
2561;Ridiel;Drabas;1
2562;Re³ucka;Parobecki;7
2563;Ritajewska;Iskandar;6
2564;Auskin;Zaborzêcka;4
2565;Lambych;Gzera;2
2566;Ciapej;Bojarek;10
2567;Nuninik;Irzeñski;2
2568;Drzymnicki;Peni¹ca;4
2569;Weltz;Chom¿yñski;8
2570;Koœciuczuk;Kryszkowiak;1
2571;Bia³ogrzywka;Rantuszkiewicz;1
2572;Husiñski;Swirgalska;2
2573;Szczych;Dowgielski;5
2574;Daduœ;Diakoniuk;3
2575;Malzacki;Nieboraczek;7
2576;Pillewska;Tworzowski;9
2577;Chohman;Medoñ;1
2578;Koszyczasz;Viel;2
2579;Szeworski;Lubaszowski;1
2580;Serwin;Powaisz;3
2581;¯ol;¯bara¿a;8
2582;Bzykaj³o;¯yborowicz;10
2583;Bronsztein;Plocek;7
2584;Szapucko;Korkut;7
2585;Borzdo;Jermis;5
2586;Roginiela;Mrosla;8
2587;Tr¹t;Je¿ka;3
2588;Strejban;Grining;9
2589;Koblak;Renkala;4
2590;Szelegejd;R¿any;4
2591;Brêczewski;Wêsiak;1
2592;Mo¿d¿yñ;Zabieñski;3
2593;Chawryœ;Cha³oñski;1
2594;Wurzel;Barahura;4
2595;Dworucha;Wozniczko;10
2596;Dobrzyca;Blocka;7
2597;Ranbelski;Fejdych;9
2598;Kordela;Himanowicz;1
2599;Dymieñski;Mia³kaœ;1
2600;Drofiszyñska;Bacho;9
2601;Sa³apot;Niewczasiñski;9
2602;Smulczyñski;Potural;8
2603;Putorak;Katinas;1
2604;Charpa³a;Ma³aniak;1
2605;Zarzawa;Szwitko;5
2606;Parchuñ;Lorbietzki;5
2607;Aleksiejczuk;Karkowczyk;2
2608;Dienes;Nelke;2
2609;Mulasz;Woncha³a;4
2610;Mach³owska;Jeczmyk;9
2611;Kóna;Pirkel;10
2612;Choldzyñski;Seelig;2
2613;Sworski;B³asik;10
2614;¯ebrun;Panchysz;9
2615;Kniazga;MedŸwiedzki;8
2616;Worsztan;Smontek;3
2617;Jamro¿;Runiczewska;4
2618;Bachocki;Czeretka;3
2619;Szaleñcow;Zwieruho;10
2620;Zailo;Jurczynko;10
2621;Rzeszytko;Podczasi;3
2622;Ze³otucha;Gruszowski;2
2623;Bestek;Fintkowski;3
2624;Wyrkus;Modeñski;6
2625;Fryniszewska;Ignatczuk;7
2626;Lewenti;Wszênderowski;8
2627;Finiosz;Pacilus;1
2628;Laboœ;Chocikowska;7
2629;Tymoszewicz;Œnietañska;6
2630;Scheffs;Witaszak;9
2631;Oremczuk;Manslik;1
2632;Skiryluk;Antlewicz;3
2633;Œmierniak;Droñ;2
2634;Srencel;Rasmus;4
2635;B³a¿yk;Dyherowicz;1
2636;Totarzycki;Jachimczuk;4
2637;Szpigel;Dziewor;4
2638;S³omczyk;Skóta;3
2639;Piergas;Lepiasz;5
2640;Lalikowski;Grzejwa;6
2641;Po¿elewski;Prochiñski;7
2642;Skroch;Suflin;9
2643;Jaksza;Husmann;2
2644;Szosa;Zail;10
2645;£apczyñski;Ba³truszkiewicz;5
2646;Muzal;Czumachurów;8
2647;Mosakowski;Teterczyn;8
2648;Czopla;Desin;8
2649;Soca³a;Bajuro;9
2650;Conrad;God³ów;1
2651;Taflik;Bêbaniec;5
2652;Piestrzeniewski;Eich;10
2653;Luzeñczuk;Bernhard;3
2654;Jarkasek;Sucho¿ak;4
2655;Dou¿yk;Bodziuch;1
2656;Pizydryga;Narzyñski;10
2657;Hyssa;Gieczan;7
2658;Kolbek;Pa³eñska;4
2659;Dylikowski;Lichmañski;2
2660;Niewieñska;Stetyñski;3
2661;Kurpan;Grzegieluch;6
2662;Percha³;Anikiejczyk;4
2663;Bosczon;Burkat;4
2664;Karmy³o;Brudew;9
2665;Piegow;Hordaczewski;3
2666;Habulan;Zakroczyñski;5
2667;Porzeczka;M¹tecki;8
2668;Höpting;Koziebrodzki;3
2669;Katrzyñski;Niesnowska;6
2670;Fajgold;Skoczyrzañski;1
2671;Junczuk;Chromecki;1
2672;Jêæminek;Weldin;10
2673;Cochoñ;Fleiszor;1
2674;Szczyry;Widuta;2
2675;Bambach;Gulawski;1
2676;Bedoñ;Smogór;8
2677;Karporowicz;Hertwig;2
2678;Feltmann;Winek;5
2679;£abow;Ogaz;4
2680;Kazieczko;Razwalka;10
2681;Solisz;Gr¹glak;6
2682;Bernardelli;Szymek;2
2683;Noschka;Dziêgiel;3
2684;Siekludzki;Ebig;2
2685;Peszko;Juzikiewicz;9
2686;Puklowski;Cymborowski;9
2687;£adorzyñska;Gryczycha;5
2688;Ambu³;Natuszewska;10
2689;Skotny;Jarchel;1
2690;Wojewoda;Minianecki;6
2691;Wiesza³kowski;Erbe;10
2692;Mg³oszek;Boczakowska;1
2693;Muzga³a;Wietochowska;3
2694;Aleksi;Ch³odny;1
2695;Skiemski;Magnus;2
2696;Jêdrejasz;Widgórska;10
2697;Lêba;Sa³atek;4
2698;£ê¿a;Liehman;1
2699;Bimienda;£abro;6
2700;Ozdyk;Krzuszczuk;9
2701;Bire³³o;Kaziewicz;4
2702;Frendzelewska;Krylicka;1
2703;Mydlik;Poleœ;8
2704;Bo¿igurska;Dracheim;10
2705;Zdrzyñski;Tresenberg;3
2706;Kuzajewski;Balejko;7
2707;Przesko;Zabrzejewski;5
2708;Stêczniewski;Chroszczewski;8
2709;Miêcki;Alchimowicz;10
2710;Cielêpa;Dorofejów;2
2711;Vons;Bamiewicz;1
2712;Pieruszkaniec;Dziubny;2
2713;Pêdziwol;Brandubura;2
2714;Mondelski;Ilik;7
2715;Gutor;Hikisz;1
2716;Knaf;Laban;9
2717;Siemiaszko;Tamilski;3
2718;B³ynczuk;Pinakiewicz;2
2719;Hinoman;Miske;5
2720;Lêczar;Hlebicki Józefowicz;7
2721;Tomaszan;Castro;3
2722;Przysadny;Kuchanowicz;10
2723;Szlechatka;Œnierzewska;4
2724;Rybalt;Grejczyk;8
2725;£anduch;Dru¿d¿el;5
2726;Lachtarski;Staliniewicz;3
2727;Dzienisiak;Fetting;8
2728;Palczek;Kopu³o;1
2729;Maci¹¿yk;Andreasiak;9
2730;Hofanowski;Farenzo³;7
2731;Milibrandt;¯elazek;1
2732;Œwierza;Godzieliñski;8
2733;Szolo;Stofel;7
2734;Lechward;Macierzanka;8
2735;Wyciechowski;Œlezyngier;5
2736;Heæko;Wiêznowski;10
2737;Brandysiak;Szapowska;2
2738;Gr¹baczewski;Bachurewicz;7
2739;Draleczyk;Indyszewska;5
2740;Kreciasz;Grygon;2
2741;Sciurkowski;Brodawko;8
2742;Bo³towicz;Cadlok;7
2743;Suchalla;Mêdla;2
2744;Burchat;Ent;1
2745;Przyjazna;Wisztor;3
2746;Czempas;Kuldanek;6
2747;Nahily;Kwalek;7
2748;Adamanczyk;Czastrów;1
2749;Gmutek;Balanicki;10
2750;Muzarski;Krysakowski;2
2751;Marzodko;Gorzelanczuk;5
2752;Kawlas;Piêtal;3
2753;Klewcow;Tu³aczyk;7
2754;Obersztedt;Schimankowitz;10
2755;Szerszczuk;Szczyga³a;7
2756;Stelaœ;Wróbelski;9
2757;Prajel;Leniert;3
2758;Piorunowicz;Miadie³ko;1
2759;Kêdzirek;Gorosiak;5
2760;Kadlubowska;Chwieæko;3
2761;Karafa;Koszarek;3
2762;Stolpiak;Dobrasiewicz;3
2763;Faj;Meleszka;1
2764;B³aguszewska;Nowatzky;1
2765;Ko³paczek;Tomilin;4
2766;Christofis;Czerson;2
2767;Tobicelli;Walentyn;3
2768;Makwa;Nideraus;10
2769;Kidocka;Kiszkuñ;7
2770;Wnêczak;Wymoczy³;1
2771;Szewczuñ;Paruzal;7
2772;Rondkowska;Dadarzyñska;10
2773;Hajntze;Strze¿ewski;1
2774;¯ubrzak;Giczak;5
2775;Rakuzy;Lupinek;3
2776;Zêtara;Mika³ujczak;10
2777;Prejlowski;Mercik;6
2778;Fer;H³¹d;2
2779;Rozdaj;Kopeñ;9
2780;Muros;Dzioban;9
2781;Graboñska;Mykietnik;6
2782;M¹ko;Osienicki;1
2783;Ignatczyk;Seger;6
2784;Darga;Haskut;3
2785;Fiorczyñska;Wiencho³;7
2786;Dieterle;Szpa³owska;4
2787;Kuczo³ek;Prygon;6
2788;Naruniewicz;Bakandziuk;10
2789;Gawiêczyk;Strohmidel;9
2790;Tryborczyk;Ny¿nyk;10
2791;Jachewicz;Miaj³ów;1
2792;Nadgrobkiewicz;Sabiechowska;4
2793;Lesner;Narwojsz;10
2794;Sielañczuk;Ko³ejszo;1
2795;Suchowolak;Pietros;2
2796;Gludka;Mareczkowska;6
2797;Strohoff;Szmelec;10
2798;Czarnopyski;MoŸdziñski;9
2799;Idrian;Dubi³owicz;2
2800;Szufrajda;Lyga;7
2801;Mesynga;W¹grzyñski;6
2802;Krulisz;Schornstaed;1
2803;Augustyñ;Malowicz;10
2804;Fochmann;Masieniak;2
2805;Morais;Brakiewicz;6
2806;Dziernowska;Zymo³ka;1
2807;Lozano-Betancourt;Dym;
2808;Przechora;Gorcek;9
2809;Mortell;Kuszeluk;8
2810;Drosdt;Maciepiñska;9
2811;Krawêdkowski;Szulganiuk;2
2812;S³umic;Daszba;3
2813;Oszczêd³owicz;Libing;10
2814;Grzel¹zka;Izebczuk;2
2815;P¹kala;Dynysowska;5
2816;Paderowski;Maruda;1
2817;Arbestfeld;Batrosz;4
2818;Owsiejew;Krzeszycka;9
2819;O¿d¿eñski;Ankin;2
2820;Narda;Biniarz;4
2821;Biszyga;Du¿niewska;9
2822;Krügier;Hawryszczuk;3
2823;Naryniecki;Rochenbach;10
2824;Koteñska;Jêdruski;7
2825;P³etenicki;Koboj;3
2826;Witonek;Hrusciel;1
2827;Magraf;Bociacka;2
2828;Zazuwiak;Petersilge;1
2829;Czy¿mowski;G³ot;7
2830;Mrozow;Piekacz-Góra;1
2831;Krachowicz;Sabadurska;8
2832;Chadik;Cinkel;8
2833;Gorañska;Staromak;6
2834;Szoturska;Skneczkowska;1
2835;Ignut;Jawninko;7
2836;Mierdziñski;Gniat;7
2837;Saniutycz-Kuroczycki;Dubsky;2
2838;Ok³ót;Wensker;9
2839;Nedelku;Pedkowicz;7
2840;Sacherski;Wrubliñski;10
2841;Cynkutis;Hubalewski;5
2842;£ysykowicz;Jasnos;9
2843;Ba³wut;Kowalick;1
2844;Gofryk;Matychowiak;6
2845;Ku³apiñska;Wra¿ka;4
2846;Bar³owski;Werych;5
2847;Sawara;Szczerpaniak;8
2848;Klawke;Stechmij;9
2849;Barczikowski;Bansiak;6
2850;Glatter;Proks;4
2851;Czerepan;Stryhun;2
2852;Kêpski vel Turowski;B³ondowski;9
2853;Koraciñski;Strupkiewicz;10
2854;Migaj;Stok³osiñski;1
2855;Farankiewicz;Glepa;4
2856;Münich;Klieryk;5
2857;Serwatowicz;Lipszyc;8
2858;Kuczarba;Banerycz;4
2859;Porzecki;Burny;1
2860;Sêkas;Karobowiak;1
2861;Branchard;Sa³czyñski;6
2862;Piwowoz;Brudy;1
2863;Saliwoda;Rozpedska;2
2864;Hor¹¿kiewicz;Tywoniuk;1
2865;Witt-Wilk;Rzy³a;10
2866;Dro¿dzewicz;Ojejniczak;6
2867;Mistecki;Graboñczyk;4
2868;Cacia;Monkos;6
2869;Bag³ajewski;Maszej;1
2870;Donachów;Kostoros;7
2871;Dytlow;Ludwiczek;8
2872;Maszer;Charusz;4
2873;Hawrych;Cenrowski;5
2874;Woc³awik;Zeñków;7
2875;Hotze;¬dzier;1
2876;Jurach;Michasiewicz;5
2877;Nawójczyk;Matrynowicz;1
2878;Maroszok;Konolera;10
2879;Kreger;Wieremiejczyk;1
2880;Wachwicz;;1
2881;Stradecki;Bondrczyk;3
2882;Zimañczyk;Schabikowski;7
2883;M¹drek;Schiekierka;3
2884;Przyjemko;Lapicz;5
2885;Kurdyka;Maszczar;3
2886;Kwieciasz;Dobro¿yñska;8
2887;Gnalek;Ko³oszczuk;10
2888;Fejtka;Maroñ;5
2889;Omy³ek;Stodzik;10
2890;Rechcygier;Calkidis;3
2891;Serefko;Sadza³a;7
2892;Harufa;Klasiak;8
2893;Browadzki;Modnicki;7
2894;Jurczok;Topiñski;1
2895;Chmarzyñski;Malakiewicz;3
2896;Lidwikowska;Pachala;8
2897;Dyrynda;Kukna;3
2898;Andryjanko;Twarzyñski;7
2899;Aprzynger;Elmisz;4
2900;Chamluk;Ogo³oszka;5
2901;Sa³amunia;Utnik;9
2902;Mrowicz;Ammol;9
2903;Jurgieleniec;Deneszewski;2
2904;Laby;Bodej;6
2905;Szewd;Karkau;5
2906;Pans;Bacieczko;9
2907;Cieplakiewicz;Suchowicz;1
2908;Schutte;K³uciñski vel K³ociñski;10
2909;Kêdzierawski;Mat³achowski;1
2910;Wnetrzak;Sacal;2
2911;Obuchlewicz;Konobel;6
2912;Horach;Kapowicz;4
2913;Midlesa;Torbisz;3
2914;Galia;Anteczek;10
2915;Harabacz;Kok³owski;10
2916;Winiowski;£emecha;9
2917;IdŸkowicz;Brojerski;3
2918;Graciasz;Bahder;7
2919;Bia³onó¿ka;Fernolc;1
2920;Burgrer;Woszkiel;5
2921;Jewduczenko;Go³osiñski;3
2922;Philip;Siej³o;1
2923;Passent;Dêba;7
2924;Pujarczuk;Blizat;3
2925;Idoliñska;Nowalony;4
2926;Giernaczyk;Ruland;7
2927;¯eli¿niak;Wickman;7
2928;K³opuch;Nielnikiewicz;2
2929;Bilawa;Kurpielska;8
2930;Gondys;Kupren;1
2931;W¹chala;Dorstmueller;1
2932;Filanowicz;Tarnogród;4
2933;Kieszkiewicz;Rudeszko;1
2934;Fórmaniak;B¹nczkowski;7
2935;Pêdo³a;Brzeczka;1
2936;Stendera;G¹sienia;3
2937;Johansson;Henin;2
2938;Koko³kiewicz;KoŸbie³;10
2939;Œliwnicki;Gratewicz;7
2940;Ga³y¿niak;Gabrukiewicz;10
2941;Brucheizer;Marcików;2
2942;Smo³¹g;Bikaniuk;9
2943;Matofij;Parzentna;1
2944;Lagodni;Paceœna;10
2945;Szukalak;Sêkarski;8
2946;Storypa;Roszaniec;10
2947;Jacej;Gruzd;7
2948;Karnieluk;Grzerzek;10
2949;Bartycha;Giemborek;5
2950;Knajfel;Popielawski;9
2951;Szaflik;Kraboñ;1
2952;S³oja;Czunko;6
2953;¯mikowska;Garal;2
2954;Morzyniec;Pogródka;1
2955;Giegoracki;Czerchaniak;6
2956;Pukjan;Romas³owski;6
2957;Kawiako;Czureja;2
2958;Ledwa;Lejpold;7
2959;£y³ko;Dauksto;2
2960;Mieszuk;Siojczyk;8
2961;Jaslar;Nasz;1
2962;Kryszta³owicz;Skompiñski;5
2963;Dekow;Folchert;4
2964;P³achowska;Ska³uj;1
2965;Banda³a;Zbo¿êcki;8
2966;Szajkowski vel Czajkowski;Dychcik;2
2967;Piegowski;Matryba;1
2968;Bobes;Kozio;5
2969;Feku³a;Ambroziak;5
2970;Bóraczyñski;Ramer;7
2971;Wlastewicz;Rolke;5
2972;Rutowicz;Skarszewski;3
2973;Breifeld;Cholawczyk;8
2974;Œwiêrczewski;Chraniak;1
2975;Afsztel;Kreza;10
2976;Czepilewski;Pritz;6
2977;Jomka;Stry¿yk;3
2978;Balwerczyk;M³odañski;1
2979;Czibulska;Dorendarz;7
2980;Rzymierczykiewicz;Dudœ;4
2981;Holdenmayer;Za¿nicki;8
2982;Mill;Szamberska;7
2983;Politonicz;Miczo³ek;1
2984;Dzis;Splistyser;10
2985;Cygon;£ohinowicz;3
2986;Cieñko;Jegrow;9
2987;Mendler;Saracyñ;1
2988;Gamrowski;Albirt;1
2989;Raffa³;Wojczakowski;1
2990;Felesz;Piesik;8
2991;Ciupalski;Seryczyñski;10
2992;Ko³oñczuk;Aluszyk;3
2993;Hussek;Gadacz;5
2994;KuŸnierkowska;Szneps;5
2995;Niemierski;Jakimienko;5
2996;¯wanik;Wydra;2
2997;Perszyñski;Kurnastowski;1
2998;Po³unkiszluœ;Bêdera;6
2999;Honij;Treœka;3
3000;Galanty;Nikita;1
3001;Cielenkiewicz;Lub;1
3002;Kundzia³;Chajna;8
3003;Wisnowski;Szymon;9
3004;Delej;Kumas;7
3005;Buchalski;Majzoñ;1
3006;Podwerniuk;Galuszek;4
3007;Ko³dyñski;Soliñski;5
3008;Rohowski;Sprencel;9
3009;Szwarniak;Famolska;2
3010;Barbawska;Krzast;5
3011;Godzi¹tkowski;Wejamn;3
3012;Bachert;Golden;1
3013;Bonczysta;Klepa;2
3014;Gardnia;Odrzywa³ek;6
3015;Nahily;Ch³ystun;9
3016;Choniecka;Raynaud;1
3017;Longer;Lader;1
3018;Czarik;Trybusiñski;10
3019;Palec;Kadetska;2
3020;Ryduchawski;Ch³adowczak;1
3021;Munch;B³aszkowski;2
3022;Sztefa;Aluda;1
3023;Saluta;Dudlo;1
3024;Rehlein;Lilo;6
3025;Krómraj;Wilki;7
3026;Lichopot;Damrat;7
3027;Jambro¿ek;Gutkiewicz;2
3028;Stankowiak;Tretjakow;4
3029;Chamara;Irzosiñski;9
3030;Martyni;Tohl;2
3031;Cudi³o;Granel;7
3032;Supriniec;Sayda;4
3033;Gugaj;Biados;8
3034;Kordowina;Krauzy;1
3035;Brylow;Stefani;3
3036;Starowójt;Szurnielewicz;8
3037;Boruczewski;Charsimowicz;3
3038;Pe¿yk;Lipmann;6
3039;Golowik;Tuliska;1
3040;Œwi¹tek-Chudzio;Jawgier;1
3041;£o¿ykowski;Biurkowicz;2
3042;Kontrymowicz-Ogiñska;£oputko;5
3043;Id¿kowski;Styczyszyn;6
3044;Fajst Œwiecicki;Szerszej;4
3045;Pazdrag;Remiaszka;4
3046;Zbylski;Lejczys;6
3047;Obwojski;Kozmicki;2
3048;Berdyñ;Demirow;4
3049;Derenc;Bednarzewski;1
3050;Kottel;Zawi³owicz;10
3051;Nikke;Dydziel;6
3052;Namyœlnik;Radzijewski;4
3053;Majchruk;Betnar;10
3054;Ratyni;Sudycz;10
3055;Dêga;Sawral;10
3056;Malaniowska;Œmiejko;9
3057;Ben;Trejter;9
3058;Purolik;Kruchniak;2
3059;Delus;Puhacz;3
3060;Bardziszewski;Buse;5
3061;Hamuda;Fraue;7
3062;Zdeb¿ak;Bartoszuk;1
3063;Fraidenrajch;Zadolska;6
3064;Górok;Opiekulski;1
3065;Bekulart;Tosarowicz;3
3066;Menge;Karniol;7
3067;Pierska³a;Ochêdiszko;7
3068;Bakanow;Runiewski;5
3069;Proprowicz;Wilcz;1
3070;Bren¿lak;Czybis;6
3071;Purel;Sudakowski;5
3072;Feduniec;Szychtanc;2
3073;Aftamiczuk;Koval;6
3074;Fronina;Trafêlski;3
3075;Jannasz;£ukasiewska;5
3076;Gdaszewska;Bielawik;3
3077;Osio³ka;Millo;9
3078;Sturcbecher;Szkutkowski;9
3079;Frenk;D³utka;7
3080;Gunia;Skwarczeñski;1
3081;Leluszko;Benert;1
3082;Szyla;Hallay;6
3083;Dumitraszczuk;Stamierowski;1
3084;Uczkoronis;Cigielman;2
3085;Karpala;Pesek;9
3086;Morchonowicz;Glieinert;4
3087;Niediela;Knowczyk;9
3088;S³êpniak;Ulita vel Paw³owski;3
3089;Nieszczakowska;£askut;8
3090;Szakiera;Siu³a;7
3091;Kropoczuk;Skoniczenko;6
3092;Bercewicz;Deremacki;9
3093;Wiêkszy vel Staniewski;Sieroch;6
3094;Cichonowski;Dulo;1
3095;Cupczyñski;Ebbig;4
3096;Bêdzkowicz;Spitol;5
3097;Henser;Stecking;6
3098;Adamien;Colmer;3
3099;P³aœcik;Boczonek;5
3100;Kacecki;Prymasiak;2
3101;Ho³dek;Szemotowicz;10
3102;Rzêsiowska;Locher;10
3103;Borodajko;Iwaniuk-Michalczuk;4
3104;Œledziak;Saft;9
3105;Chali³;Kleps;10
3106;Waraæ;Susskin;7
3107;Stró¿;Wiklendt;1
3108;Œlinkiewicz;Smolarski;10
3109;Baderna;Kyrdziawa;6
3110;Kostyto;Kokosiñski;10
3111;Chole;Stupnik;6
3112;Lehrfeld;Kier¿anowska;8
3113;Selon;Panocki;2
3114;Windakiewicz;Samolska;6
3115;Piókowski;Gajesiñska;1
3116;Pazdzierek;Gretz;1
3117;Hodnik;Trziszka;1
3118;Hedrysiak;Tel¹Ÿka;1
3119;Pazgan;Rozembajger;5
3120;Skwarzewski;Zybrant;8
